Pair,traded_quantity
BTC/JPY,73.1786128588
BTC/USD,58.5502594366
BTC/KRW,55.5925933507
ADA/BTC,32.3948094988
NEO/BTC,27.6145582134
WTC/BTC,24.5880537328
BTC/CNY,19.7683486259
BTC/USDT,19.5627798495
BCC/BTC,17.6647511916
BNB/BTC,17.5129615082
ADX/BTC,14.4268581369
EMC2/BTC,12.1262352187
QTUM/BTC,11.2634670101
PIVX/BTC,10.396258905
SNM/BTC,9.8653803673
IOP/BTC,9.57010798048
BTS/BTC,8.64936948471
LINK/BTC,8.51948727113
REC/BTC,8.27287610752
XMR/BTC,7.40870849725
BTC/EUR,7.33341449057
BTC/HKD,7.32269434931
ETH/BTC,6.82289940407
BAT/BTC,6.71814704536
GXS/BTC,6.66033403842
